
[0, 'www.guifeilp.net', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.guifeilp.net/celive/live/doajaxfileupload.php', '', '']
[0, 'www.guifeilp.net', 'exp', 'exp_etcms_Upload_shell', 'http://www.zhouguifeilp.com/celive/uploadfiles/CELIVE-400D3b1mTa.php;.jpg', 'long', 'webshell']
[0, 'whtongxin.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://whtongxin.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.santap.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.santap.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'www.santap.cn', 'exp', 'exp_etcms_Upload_shell', 'http://www.santap.cn/celive/uploadfiles/CELIVE-aDTgDace3k.php;.jpg', 'long', 'webshell']
[0, 'www.conext.com.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.conext.com.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'www.conext.com.cn', 'exp', 'exp_etcms_Upload_shell', 'http://www.conext.com.cn/celive/uploadfiles/CELIVE-QIqH6KaQTX.php;.jpg', 'long', 'webshell']
[0, 'bc168.net', 'exp', 'exp_cmseasy_IIS6_jx', 'http://bc168.net/celive/live/doajaxfileupload.php', '', '']
[0, 'www.hyjzzs.com.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.hyjzzs.com.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'spsj8.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://spsj8.com/celive/live/doajaxfileupload.php', '', '']
[0, 'zdtxh.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://zdtxh.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.hyjzzs.com.cn', 'exp', 'exp_etcms_Upload_shell', 'http://s227896.hao.net/celive/uploadfiles/CELIVE-ZuTGYiIPTM.php;.jpg', 'long', 'webshell']
[0, 'www.82341221.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.82341221.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.fdsm.com.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.fdsm.com.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'cynj.com.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://cynj.com.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'cynj.com.cn', 'exp', 'exp_etcms_Upload_shell', 'http://changyi.42.my5m.com/celive/uploadfiles/CELIVE-gWpBuLVFzr.php;.jpg', 'long', 'webshell']
[0, 'www.82341221.com', 'exp', 'exp_etcms_Upload_shell', 'http://localhost/xinli/celive/uploadfiles/CELIVE-HW1a5tYAjA.php;.jpg', 'long', 'webshell']
[0, 'www.hongjvlh.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.hongjvlh.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.mghsc.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.mghsc.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'www.mghsc.cn', 'exp', 'exp_etcms_Upload_shell', 'http://www.mghsc.cn/celive/uploadfiles/CELIVE-gLuMbb7cjO.php;.jpg', 'long', 'webshell']
[0, 'www.ystfj.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.ystfj.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.yayuntech.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.yayuntech.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'an3jj.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://an3jj.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.hblock.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.hblock.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'www.domdo.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.domdo.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'www.qjship.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.qjship.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'geoast.ipage.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://geoast.ipage.com/celive/live/doajaxfileupload.php', '', '']
[0, 'geoast.ipage.com', 'exp', 'exp_dedecms_yijuhua', 'http://geoast.ipage.com/plus/dst.php', 'cmd', 'webshell']
[0, 'longzhuangsi.org', 'exp', 'exp_cmseasy_IIS6_jx', 'http://longzhuangsi.org/celive/live/doajaxfileupload.php', '', '']
[0, 'cxadk.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://cxadk.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.ntwd.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.ntwd.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'www.kensijie.com.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.kensijie.com.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'www.china-jubang.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.china-jubang.com/celive/live/doajaxfileupload.php', '', '']
[0, 'chinasowon.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://chinasowon.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.baiyechuang.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.baiyechuang.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'chinasowon.com', 'exp', 'exp_etcms_Upload_shell', 'http://127.0.0.1/celive/uploadfiles/CELIVE-9lXY1k79RA.php;.jpg', 'long', 'webshell']
[0, 'house-ledlamp.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://house-ledlamp.com/celive/live/doajaxfileupload.php', '', '']
[0, 'rsweb.cn', 'exp', 'exp_cmseasy_IIS6_jx', 'http://rsweb.cn/celive/live/doajaxfileupload.php', '', '']
[0, 'www.baiyechuang.cn', 'exp', 'exp_etcms_Upload_shell', 'http://www.baiyechuang.cn/celive/uploadfiles/CELIVE-3DDR91E0LR.php;.jpg', 'long', 'webshell']
[0, 'house-ledlamp.com', 'exp', 'exp_dedecms_yijuhua', 'http://house-ledlamp.com/plus/dst.php', 'cmd', 'webshell']
[0, 'busha.net', 'exp', 'exp_cmseasy_IIS6_jx', 'http://busha.net/celive/live/doajaxfileupload.php', '', '']
[0, 'go-go-tee.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://go-go-tee.com/celive/live/doajaxfileupload.php', '', '']
[0, 'go-go-tee.com', 'exp', 'exp_etcms_Upload_shell', 'http://www.localserver.com/test/cmseasy1205/celive/uploadfiles/CELIVE-RdATDRgLQJ.php;.jpg', 'long', 'webshell']
[0, 'busha.net', 'exp', 'exp_dedecms_yijuhua', 'http://busha.net/plus/dst.php', 'cmd', 'webshell']
[0, 'www.gzchumei.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://www.gzchumei.com/celive/live/doajaxfileupload.php', '', '']
[0, 'whyuyun.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://whyuyun.com/celive/live/doajaxfileupload.php', '', '']
[0, '0335xueche.com', 'exp', 'exp_cmseasy_IIS6_jx', 'http://0335xueche.com/celive/live/doajaxfileupload.php', '', '']
[0, 'www.gzchumei.com', 'exp', 'exp_etcms_Upload_shell', 'http://hongda.gz-chumei.com/celive/uploadfiles/CELIVE-16rCNuhxUq.php;.jpg', 'long', 'webshell']
[0, '0335xueche.com', 'exp', 'exp_etcms_Upload_shell', 'http://www.0335xueche.com/test2/celive/uploadfiles/CELIVE-0USlOoJrPh.php;.jpg', 'long', 'webshell']
